Title,Note,URL,Tags,Comment
Roseburn Bar,,https://www.google.com/maps/place/Roseburn+Bar/data=!4m2!3m1!1s0x4887c7accf362723:0x2d5614caf1e89620,,
The Wally Dug,,https://www.google.com/maps/place/The+Wally+Dug/data=!4m2!3m1!1s0x4887c793ec233fc5:0x77f0e06dfeba9764,,
Starbar,,https://www.google.com/maps/place/Starbar/data=!4m2!3m1!1s0x4887c79249eb0fd3:0x4a1a34b4781cccb5,,
Joseph Pearce,,https://www.google.com/maps/place/Joseph+Pearce/data=!4m2!3m1!1s0x4887c78ba236789d:0xcb4b850522ae3861,,
The Keller,,https://www.google.com/maps/place/The+Keller/data=!4m2!3m1!1s0x4887c77b56333d53:0x6a9e2492fa0ccf00,,
The Outhouse,,https://www.google.com/maps/place/The+Outhouse/data=!4m2!3m1!1s0x4887c78c14de5e9d:0x4f7a9bb11a043225,,
The Whitecross Tap,Pub #100,https://www.google.com/maps/place/The+Whitecross+Tap/data=!4m2!3m1!1s0x48761dac12956ed1:0xe39dd25a628c9b50,,
Cafe 1001,,https://www.google.com/maps/place/Cafe+1001/data=!4m2!3m1!1s0x48761cb6159e0073:0x1a146b75a5abf194,,
The Two Brewers,,https://www.google.com/maps/place/The+Two+Brewers/data=!4m2!3m1!1s0x48761ca9cec5f5d5:0x5bd3275e0bd71585,,
Jugged Hare,,https://www.google.com/maps/place/Jugged+Hare/data=!4m2!3m1!1s0x48761ca978238ba1:0xb052c098b4c2344e,,
Bennets Bar,,https://www.google.com/maps/place/Bennets+Bar/data=!4m2!3m1!1s0x4887c79f99308c07:0x9a8acb5b38b03909,,
Barrel Bar,,https://www.google.com/maps/place/Barrel+Bar/data=!4m2!3m1!1s0x4887c736ca6ccfd1:0xc5e1faf285f37d16,,
The Temple (Temple of Convenience),,https://www.google.com/maps/place/The+Temple+(Temple+of+Convenience)/data=!4m2!3m1!1s0x487bb1ea2d4d5939:0xdcb6f1059ce49f5e,,
Albert's Schloss,,https://www.google.com/maps/place/Albert's+Schloss/data=!4m2!3m1!1s0x487bb1c27cd1d88b:0x597996a6f9ea4dd1,,
Fountainbridge Fox,,https://www.google.com/maps/place/Fountainbridge+Fox/data=!4m2!3m1!1s0x4887c705385a5fcf:0x1b623742a6e20325,,
Teuchters Landing,,https://www.google.com/maps/place/Teuchters+Landing/data=!4m2!3m1!1s0x4887b8046b398d87:0xfea3469ed190c678,,
The Rock Bottom,,https://www.google.com/maps/place/The+Rock+Bottom/data=!4m2!3m1!1s0x48887b0063d7143d:0x44b84a361d63a9eb,,
Innis & Gunn Edinburgh City Centre Brewery Taproom,,https://www.google.com/maps/place/Innis+%26+Gunn+Edinburgh+City+Centre+Brewery+Taproom/data=!4m2!3m1!1s0x4887c79885a05ceb:0x800868cef065939c,,
Footlights Bar and Grill,,https://www.google.com/maps/place/Footlights+Bar+and+Grill/data=!4m2!3m1!1s0x4887c798e968587f:0x3cf77f8b7ca84615,,
The Kenilworth,,https://www.google.com/maps/place/The+Kenilworth/data=!4m2!3m1!1s0x4887c79711476cdf:0x6d3d429d5daa65ee,,
Blackford Bar and Bistro,,https://www.google.com/maps/place/Blackford+Bar+and+Bistro/data=!4m2!3m1!1s0x4887c77b3188cf5f:0x4d55abbe463b136b,,
Beehive Inn,,https://www.google.com/maps/place/Beehive+Inn/data=!4m2!3m1!1s0x4887c79a355b59dd:0x872dddf203c24c6a,,
Oporto,,https://www.google.com/maps/place/Oporto/data=!4m2!3m1!1s0x48795c19ae8905fb:0xb44ad2b0528577ca,,
Whitelock's Ale House,,https://www.google.com/maps/place/Whitelock's+Ale+House/data=!4m2!3m1!1s0x48795c195e77ef53:0xec15c54bda31a4ee,,
